condition,substrate,Group,treatment method ,treatment,treat No.,Cultivar,samples,fresh weight (A),dry weight(B),A-B,Vase_life,petals,petal size,L,a,b
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_KP,3,CP,6,2.2,0.31,1.89,10,13,54.26,79.43,10.52,3.39
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KP,4,CP,1,2.89,0.96,1.93,7,10,56.88,74.9,11.54,5.76
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KP,4,CP,2,1.6,0.38,1.22,5,10,57.91,80.64,12.98,4.61
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KP,4,CP,3,3.43,0.6,2.83,8,13,51.11,79.2,14.46,4.81
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KP,4,CP,4,2.62,0.43,2.19,8,10,56.54,78.55,7.67,5.65
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KP,4,CP,5,2.59,0.87,1.72,7,10,59.78,70.67,18.44,3.41
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KP,4,CP,6,2.94,0.51,2.43,7,10,54.44,80.51,8.3,2.33
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_BP,1,BP,1,2.26,0.52,1.74,7,11,43.21,88.35,1.91,1.74
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_BP,1,BP,2,2.87,0.47,2.4,9,12,40.69,31.41,37.29,-31.48
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_BP,1,BP,3,2.01,0.56,1.45,9,15,42.77,33.24,30.65,-25.69
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_BP,1,BP,4,2.51,0.61,1.9,9,14,45.89,67.86,13.02,-11.9
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_BP,1,BP,5,2.23,0.47,1.76,7,12,42.89,60.04,12.93,-12.03
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_BP,1,BP,6,2.52,0.78,1.74,7,10,40.97,71.49,9.93,-8.29
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_BP,2,BP,1,1.5,0.32,1.18,10,10,45.87,68.52,10.78,-9.89
