Cultivar,SPAD_1,SPAD_6,SPAD_9,SPAD_11,SPAD_14,Vase_life
KW,42.8,36.5,39.5,38.9,18.1,12
KW,78.5,69.3,58.2,56.2,4.8,13
KW,79.9,66.8,57.3,57.2,5.5,13
KW,80.1,68.6,56.9,55.3,6.9,13
KW,24.9,25.9,19.4,14.7,14.9,13
KW,24.6,26.5,18.4,13.8,15,13
KW,24.9,27.9,19.3,12.8,15.2,13
KW,60.1,62.2,42,43.5,11,12
KW,66.1,60.1,53.1,42.1,11.4,12
KW,57.1,66.1,51,43.3,12.7,12
KW,38.8,22.1,12.1,12.5,10.1,11
KW,39,22.3,10.9,12.4,10.4,11
KW,37.7,21.9,11.2,12,10,11
KW,30,35.4,45.7,23.6,19.2,10
KW,32.4,36.2,41.7,22.4,10,10
KW,30.1,38.1,47.9,23.5,12.4,10
KW,55.5,64.8,28.2,28.9,17.8,13
KW,49.2,58.8,23.9,31.3,18.2,13
KW,46.4,58.9,27.1,27.9,20.4,13
KW,70.4,40.5,53.9,52.8,9,10
KW,69.4,44.1,52.4,42.5,8.1,10
KW,63.6,41,51.2,49.7,5.4,10
KW,28.9,39.5,25.4,23.5,26.4,11
KW,28.7,33.5,25.9,23.5,24.4,11
KW,29.9,34.2,26.1,23.7,24.7,11
KW,82.2,74.9,48.5,45.2,31.4,13
KW,80.9,70.8,43.3,45.5,38.4,13
KW,76.7,64.9,42.1,45.7,37.2,13
KW,18.2,25.1,23.2,21.7,15.1,13
KW,19,24.9,22.9,21.9,18,13
KW,17.9,23.4,22,20.1,10.4,13
KW,22.8,45.1,43.3,21.6,20.1,11
